NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,NARRATIVE,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
521181,07032030,3/13/2007 12:00:00 AM,UNK,THEFT,BICYCLE,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C1 REPORTS THAT AN UNKNOWN SUSPECT JUMPED THE FENCE THEN STOLE VARIOUS PROPERTY FROM A PLASTIC STORAGE BOX.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
533213,07092677,7/9/2007 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,NO NARRATIVE IS AVAILABLE.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
533498,07094199,7/12/2007 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,C1 STATES THAT SHE RETURNED FROM WORK TO FIND THAT UNKNOWN PERSON ENTER THE LISTED LOCATION THRU THE FRONT DOOR AND TOOK VARIOUS PROPERTY. FRONT DOOR LEFT UNLOCKED.,38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
539810,07123938,9/9/2007 12:00:00 AM,MID,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,C-1 REPORTS THAT THE LISTED VEHICLE WAS STOLEN BY UNKNOWN SUSPECTS. KEYS AND REGISTRATION ARE WITH THE OWNER,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
542345,07136487,10/4/2007 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,100 B/O 54TH ST SE,C-1 REPORTS THE THEFT OF A VEHICLE. C-1 DOES NOT ALLOW ANYONE TO DRIVE THE VEHICLE. THE KEYS AND REGISTRATION ARE WITH THE OWNER.,38.88706163705260,-76.923293780257,WASHINGTON,DC,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,NONE
549790,07172082,12/16/2007 12:00:00 AM,MID,ROBBERY,OTHER ARMED,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,"C-1 REPORTS THAT C-1 AND S-1 WERE INSIDE THE LISTED LOCATION CONSUMING ALCOHOL. S-1 THEN BEGAN TO GO THROUGH C-1''S PANTS POCKETS AND TOOK THE LISTED PROPERTY. C-1 THEN STATED TO S-1 WHAT DID YOU DO WITH MY MONEY? , AND S-1 STATED I DON''T HAVE YOUR MONEY.",38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
549944,07173057,12/18/2007 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,R-1 REPORTS S-1 TOOK THE LISTED PROPERTY BELONGING TO C-1 AND USED IT TO MAKE MULTIPLE PURCHASES.,38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
568876,07128449,9/18/2007 12:00:00 AM,DAY,THEFT,1,3/5/2010 7:16:57 AM,5300 B/O E ST SE,NO NARRATIVE IS AVAILABLE.,38.88184781944330,-76.92561776412910,WASHINGTON,DC,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,NONE
569182,07051509,4/22/2007 12:00:00 AM,EVN,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,NO NARRATIVE IS AVAILABLE.,38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
569872,08002193,1/5/2008 12:00:00 AM,MID,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,R-1 RPTS FOR C-1 THAT S-1 STOLE THE LISTED AUTO. R-1 WAS WARMING UP THE LISTED AUTO WHEN S-1 ENTERED THE AUTO AND FLED SOUTH IN THE 4800 BLK OF 4TH ST NW. KEYS ARE IN THE AUTO AND THE REG. IS WITH C-1.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
570949,08005988,1/14/2008 12:00:00 AM,MID,THEFT F/AUTO,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,S-1 SMASHED THE DRIVERS SIDE WINDOW THEN STOLE THE LISTED PROPERTY.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
571936,07173059,12/18/2007 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,NO NARRATIVE IS AVAILABLE.,38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
576063,08024141,2/22/2008 12:00:00 AM,EVN,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,4400 B/O DOUGLAS ST NE,C-1 REPORTS THAT S-1 TOOK BOTH TAGS OFF OF THE LISTED VEHICLE WITHOUT PERMISSION.,38.91046913954820,-76.93885355643460,WASHINGTON,DC,7,7D,7D03,SIXTH,601,29,NONE,NONE,NONE,NONE
581276,08045986,4/7/2008 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,C-1 RPTS THAT S-1 ENTERED THE LISTED LOCATION AND ONCE INSIDE STOLE THE LISTED PROPERTY.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
581382,08046212,4/8/2008 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,NO NARRATIVE IS AVAILABLE.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
585537,08060736,5/6/2008 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,"R-1 RPTS FOR C-1 THAT S-1 CUT THE SCREEN OF THE REAR WINDOW OF THE LISTED LOCATION, REACHED IN AND OPENED THE DOOR. ONCE INSIDE S-1 STOLE THE LISTED PROPERTY.",38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
598295,08099251,7/17/2008 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,"BETWEEN THE DATES TIMES AND LOCATION LISTED ON THIS REPORT, C-1 STATES THAT SUSPECTS UNKNOWN DID ENTER THE LISTED AUTO BY BREAKING OUT THE LEFT REAR PASSENGER WINDOW. SUSPECTS THEN STOLE THE LISTED PROPERTY FROM INSIDE.",38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
598855,08101102,7/20/2008 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,R-1 REPORTS FOR C-1 THAT UNKNOWN SUSPECT(S) ENTERED THE LISTED LOCATION VIA BREAKING THE FRONT DOOR AND STOLE THE LISTED PROPERTY FROM WITHIN.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
598864,08100997,7/20/2008 12:00:00 AM,DAY,THEFT F/AUTO,ATTEMPT,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C-1 REPORTS HEARING GLASS BREAKAGE. C-1 THEN OBSERVED S-1 ATTEMPTING TO TAKE PROPERTY OUT OF THE LISTED VEHICLE. C-1 STATES THAT HE AND W-1 ATTEMPTED TO STOP S-1 AT WHICH TIME S-1 PUSHED A TRASH CAN AT THEM AND FLED EASTBOUND.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
606835,08116588,8/18/2008 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,3500 B/O T ST NW,RESIDENCE/HOME C-1 THAT UNKNOWN SUBJECT(S) STOLE THE LISTED PROPERTY IN AN UNKNOWN MANNER.,38.91547711639330,-77.07032571330610,WASHINGTON,DC,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,NONE
607094,08117279,8/19/2008 12:00:00 AM,EVN,THEFT,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,C1 REPORTS THAT S1 STOLE THE LISTED PROPERTY FROM INSIDE THE LISTED LOCATION.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
610866,08126516,9/6/2008 12:00:00 AM,EVN,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,3500 B/O T ST NW,NO NARRATIVE IS AVAILABLE.,38.91547711639330,-77.07032571330610,WASHINGTON,DC,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,NONE
612109,08130777,9/14/2008 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C-1 REPORTS THAT AN UNKNOWN SUSPECT ENTERED HIS HOME AND STOLE THE LISTED PROPERTY. SUSPECT ENTERED BY FORCING THE SCREEN AND OPENING THE REAR WINDOW.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
654575,09002265,1/5/2009 12:00:00 AM,DAY,THEFT,2,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,"R-1 REPORTS FOR C-1 THAT BETWEEN THE LISTED DATES AND TIMES, SUSPECT(S) UNKNOWN CAUSED DAMAGE TO THE LISTED PROPERTY BY UNKNOWN MEANS AND STOLE THE LISTED ITEMS.",38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
668802,09019522,2/11/2009 12:00:00 AM,MID,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,SUSPECTS BROKE INTO THE LISTED VEHICLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
671318,09027231,2/27/2009 12:00:00 AM,MID,ROBBERY,F&V,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
673807,09033617,3/13/2009 12:00:00 AM,EVN,THEFT,2,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,NO NARRATIVE IS AVAILABLE.,38.91480407889120,-77.01846738631650,WASHINGTON,DC,2,2C,2C02,THIRD,308,3,NONE,NONE,NONE,NONE
687071,09066789,5/17/2009 12:00:00 AM,EVN,BURGLARY,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
711986,09103057,7/22/2009 12:00:00 AM,UNK,SEX ABUSE,ADULT 1ST,3/5/2010 7:16:57 AM,2100 B/O RIDGECREST CT SE,"TO PROTECT THE VICTIM'S PRIVACY, THE NARRATIVE IS NOT AVAILABLE.",39.08181604681790,-76.97343358250020,WASHINGTON,DC,8,8B,8B05,SEVENTH,704,38,NONE,NONE,NONE,NONE
718974,09087835,6/25/2009 12:00:00 AM,DAY,THEFT F/AUTO,1,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,NO NARRATIVE IS AVAILABLE.,38.91480407889120,-77.01846738631650,WASHINGTON,DC,2,2C,2C02,THIRD,308,3,NONE,NONE,NONE,NONE
726632,09117527,8/18/2009 12:00:00 AM,UNK,ROBBERY,F&V,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
730119,09120399,8/23/2009 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,5500 B/O 9TH ST NW,NO NARRATIVE IS AVAILABLE.,38.956812164603,-77.02578280301550,WASHINGTON,DC,4,4D,4D01,FOURTH,403,18,NONE,NONE,NONE,NONE
742736,09133061,9/16/2009 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,NO NARRATIVE IS AVAILABLE.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
745724,09136332,9/22/2009 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,14TH ST NW & W ST NW,NO NARRATIVE IS AVAILABLE.,38.91918516422920,-77.03195148689910,WASHINGTON,DC,1,1B,1B04,THIRD,305,3,14TH ST NW & CLIFTON ST NW,14TH ST NW & CLIFTON ST NW,14TH ST NW,NONE
748940,09140009,9/29/2009 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
759978,09151631,10/22/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,7200 B/O 7TH ST NW,NO NARRATIVE IS AVAILABLE.,38.97777567205380,-77.02294190836960,WASHINGTON,DC,4,4B,4B01,FOURTH,401,17,NONE,NONE,NONE,NONE
760530,09152154,10/22/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,3700 B/O 9TH ST NW,NO NARRATIVE IS AVAILABLE.,38.93676146691520,-77.02531858409940,WASHINGTON,DC,4,4C,4C06,FOURTH,404,18,NONE,NONE,NONE,NONE
763729,09155603,10/30/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,6900 B/O 4TH ST NW,NO NARRATIVE IS AVAILABLE.,38.97404625303040,-77.01803187912710,WASHINGTON,DC,4,4B,4B02,FOURTH,401,17,NONE,NONE,NONE,NONE
771221,09162677,11/13/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,1200 B/O SHEPHERD ST NW,NO NARRATIVE IS AVAILABLE.,38.93974208771190,-77.02860873936470,WASHINGTON,DC,4,4C,4C06,FOURTH,404,18,NONE,NONE,NONE,NONE
773302,09165306,11/18/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,5600 B/O 5TH ST NW,NO NARRATIVE IS AVAILABLE.,38.95807178504840,-77.01996543106360,WASHINGTON,DC,4,4B,4B05,FOURTH,403,18,NONE,NONE,NONE,NONE
773974,09166098,11/19/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,1300 B/O WEBSTER ST NW,NO NARRATIVE IS AVAILABLE.,38.94399666273780,-77.03242755226570,WASHINGTON,DC,4,4C,4C03,FOURTH,404,18,NONE,NONE,NONE,NONE
774955,09167160,11/21/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O ILLINOIS AVE NW,NO NARRATIVE IS AVAILABLE.,38.949108001803,-77.02299331891790,WASHINGTON,DC,4,4D,4D06,FOURTH,403,18,NONE,NONE,NONE,NONE
775700,09168059,11/23/2009 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,NO NARRATIVE IS AVAILABLE.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
777421,09170150,11/28/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,4900 B/O 5TH ST NW,NO NARRATIVE IS AVAILABLE.,38.95017694639820,-77.01959225544810,WASHINGTON,DC,4,4D,4D03,FOURTH,403,18,NONE,NONE,NONE,NONE
779307,09172455,12/3/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,5000 B/O 1ST ST NW,NO NARRATIVE IS AVAILABLE.,38.95158060557920,-77.011831797925,WASHINGTON,DC,4,4D,4D05,FOURTH,403,19,NONE,NONE,NONE,NONE
781558,09175318,12/9/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,800 B/O KENNEDY ST NW,NO NARRATIVE IS AVAILABLE.,38.95630324936320,-77.02489532848690,WASHINGTON,DC,4,4D,4D01,FOURTH,403,18,NONE,NONE,NONE,NONE
781955,09175863,12/10/2009 12:00:00 AM,UNK,SEX ABUSE,CHILD 1ST,3/5/2010 7:16:57 AM,3900 B/O ALABAMA AVE SE,"TO PROTECT THE VICTIM'S PRIVACY, THE NARRATIVE IS NOT AVAILABLE.",38.86794546718270,-76.94901296086290,WASHINGTON,DC,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,NONE
782285,09176228,12/11/2009 12:00:00 AM,UNK,BURGLARY,1,3/5/2010 7:16:57 AM,5300 B/O 16TH ST NW,NO NARRATIVE IS AVAILABLE.,38.95467331110780,-77.03640511572960,WASHINGTON,DC,4,4A,4A08,FOURTH,403,18,NONE,NONE,NONE,NONE
782752,09176798,12/12/2009 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,3500 B/O T ST NW,NO NARRATIVE IS AVAILABLE.,38.91547711639330,-77.07032571330610,WASHINGTON,DC,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,NONE
784151,09178549,12/15/2009 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:57 AM,700 B/O JEFFERSON ST NW,NO NARRATIVE IS AVAILABLE.,38.95528230119940,-77.02312366126280,WASHINGTON,DC,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,NONE
791144,10001855,1/5/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,2300 B/O M ST NW,NO NARRATIVE IS AVAILABLE.,38.905261687492,-77.050758416837,WASHINGTON,DC,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,NONE
791279,10002036,1/5/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
800432,10012843,1/28/2010 12:00:00 AM,UNK,ADW,OTHER,3/5/2010 7:17:07 AM,14TH ST NW & IRVING ST NW,NO NARRATIVE IS AVAILABLE.,38.92880505634210,-77.03261236280030,WASHINGTON,DC,1,1A,1A05,THIRD,302,2,NONE,NONE,NONE,NONE
800529,10012901,1/28/2010 12:00:00 AM,UNK,ROBBERY,GUN,3/5/2010 7:16:57 AM,4700 B/O C ST SE,NO NARRATIVE IS AVAILABLE.,38.88587232260970,-76.934816362153,WASHINGTON,DC,7,7E,7E04,SIXTH,604,33,NONE,NONE,NONE,NONE
800690,10013132,1/29/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
800817,10013232,1/29/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:57 AM,1000 B/O CONNECTICUT AVE NW,NO NARRATIVE IS AVAILABLE.,38.90314423119450,-77.03966701890980,WASHINGTON,DC,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
802114,10015083,2/2/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,5000 B/O JUST ST NE,NO NARRATIVE IS AVAILABLE.,38.902655884196,-76.92729819585650,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
804247,10017659,2/11/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,1400 B/O STAPLES ST NE,NO NARRATIVE IS AVAILABLE.,38.90406939558060,-76.98378395110650,WASHINGTON,DC,5,5B,5B07,FIFTH,504,23,NONE,NONE,NONE,NONE
805034,10018601,2/13/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:57 AM,17TH ST NW & I ST NW,NO NARRATIVE IS AVAILABLE.,38.901340382172,-77.03944733617240,WASHINGTON,DC,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
806427,10020473,2/18/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,1400 B/O ROCK CREEK FORD RD NW,NO NARRATIVE IS AVAILABLE.,38.96373608926690,-77.034674282044,WASHINGTON,DC,4,4A,4A07,FOURTH,402,17,NONE,NONE,NONE,NONE
806668,10020812,2/18/2010 12:00:00 AM,UNK,ROBBERY,GUN,3/5/2010 7:16:57 AM,600 B/O 49TH ST NE,NO NARRATIVE IS AVAILABLE.,38.89731181477990,-76.93255468174980,WASHINGTON,DC,7,7C,7C03,SIXTH,602,31,NONE,NONE,NONE,NONE
807074,10021278,2/19/2010 12:00:00 AM,UNK,BURGLARY,1,3/5/2010 7:16:57 AM,100 B/O WEBSTER ST NW,NO NARRATIVE IS AVAILABLE.,38.94436373309130,-77.01342485996220,WASHINGTON,DC,4,4C,4C09,FOURTH,404,18,NONE,NONE,NONE,NONE
807253,10021584,2/20/2010 12:00:00 AM,UNK,ROBBERY,PBS,3/5/2010 7:16:57 AM,2800 B/O QUEBEC ST NW,NO NARRATIVE IS AVAILABLE.,38.93704855754580,-77.05685199307730,WASHINGTON,DC,3,3C,3C04,SECOND,204,15,NONE,NONE,NONE,NONE
807791,10022340,2/21/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,2000 B/O H ST NW,NO NARRATIVE IS AVAILABLE.,38.89957567186710,-77.04577890387710,WASHINGTON,DC,2,2A,2A01,SECOND,207,5,NONE,NONE,NONE,NONE
808637,10023450,2/24/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:16:58 AM,3400 B/O CROFFUT PL SE,NO NARRATIVE IS AVAILABLE.,38.88679728680680,-76.95565060250130,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
